x,y,z,directionX,directionY,directionZ,q_magnitude
2.25,-0.75,0.75,-0.118796,-0.567727,0.8146,2.73921e-06
1.5,-1.5,1.5,-0.0996056,-0.535659,0.83854,1.09602e-06
2,-1,1.5,-0.0776992,-0.520213,0.850495,1.73535e-06
1.5,-0.5,-1.5,0.222812,-0.571442,0.789816,5.01349e-05
1.75,-0.25,-1.25,0.290636,-0.421013,0.859231,1.37697e-05
2,-0.5,-1,0.2512,-0.474283,0.843774,5.6671e-05
2.25,-0.25,-0.75,0.215657,-0.528964,0.820786,2.07319e-05
1.5,0,-1,0.302304,-0.405195,0.862803,5.51993e-05
1.75,0.25,-0.75,0.271496,-0.460675,0.845026,2.05321e-05
2,0,-1.5,0.283098,-0.520803,0.80537,7.66094e-05
2.25,0.25,-1.25,0.343577,-0.341475,0.874843,2.14275e-05
1.5,-0.5,-0.5,0.375055,-0.24634,0.893672,2.25644e-05
1.75,-0.25,-0.25,0.147137,-0.546476,0.824448,7.84108e-06
2,-0.5,0,0.311298,-0.337351,0.888419,1.51928e-05
2.25,-0.25,0.25,0.0502426,-0.550558,0.833283,5.78955e-06
1.5,0,0,0.36415,-0.275744,0.889584,1.55583e-05
1.75,0.25,0.25,0.150312,-0.485834,0.861029,5.89821e-06
2,0,-0.5,0.398835,-0.207613,0.893212,3.92176e-05
2.25,0.25,-0.25,0.200585,-0.502773,0.840824,1.19755e-05
1.5,-0.5,0.5,0.25885,-0.390769,0.883344,6.35725e-06
